member;section;force;dcr_max;axial tension;tension (dcr);axial compression;compression (dcr);moment yy;moment zz;biaxial bending (dcr);shear y;shear z;shear y (dcr);shear z (dcr);bending and tension (dcr);bending and compression (dcr);compression perpendicular;compression perpendicular (dcr)
Column 1;3 x 3;10//2//14/(C);0.06658166688251785;0;0.0;167.78;0.023297111920158788;501.4691;819.1485;0.06603891145869745;58.02;12.02;0.010365471741087106;0.002147414173179369;0.06603891145869745;0.06658166688251785;12.02;0.936456517098512
Column 1;3 x 3;12//102//11/(C);0.10657378340934684;0;0.0;166.48;0.023116600265037757;1914.6623;205.8679;0.10603940620153329;4.58;49.25;0.0008182326882829877;0.008798681200422957;0.10603940620153329;0.10657378340934684;49.25;3.836978657828762
Column 1;3 x 3;12//102//12/(C);0.08764337876925925;0;0.0;182.11;0.025286905780069837;108.8536;1631.0138;0.08700395116532912;48.94;13.29;0.008743298638552274;0.0023743040234237784;0.08700395116532912;0.08764337876925925;13.29;1.0353999261430302
Column 1;3 x 3;12//102//13/(C);0.10499233296168317;0;0.0;153.48;0.021311483713827458;1904.3882;186.1206;0.10453815362359843;4.13;47.99;0.0007378386468578033;0.008573577884432441;0.10453815362359843;0.10499233296168317;47.99;3.738814330745224
Column 1;3 x 3;12//102//14/(C);0.08802906320286412;0;0.0;169.11;0.02348178922885954;98.5795;1650.7611;0.08747766877747554;49.4;12.02;0.008825479214231352;0.002147414173179369;0.08747766877747554;0.08802906320286412;12.02;0.936456517098512
Column 1;3 x 3;12//2/3//11/(C);0.03896364531297828;0;0.0;165.75;0.023015236027931336;683.2898;85.2956;0.03843394422355689;4.58;49.25;0.0008182326882829877;0.008798681200422957;0.03843394422355689;0.03896364531297828;49.25;3.836978657828762
Column 1;3 x 3;12//2/3//12/(C);0.03217098190015849;0;0.0;181.38;0.02518554154296341;223.2577;407.399;0.03153667039734615;48.94;13.29;0.008743298638552274;0.0023743040234237784;0.03153667039734615;0.03217098190015849;13.29;1.0353999261430302
Column 1;3 x 3;12//2/3//13/(C);0.03952809018928922;0;0.0;152.81;0.021218450783880467;704.5758;76.8865;0.03907786753562126;4.13;47.99;0.0007378386468578033;0.008573577884432441;0.03907786753562126;0.03952809018928922;47.99;3.738814330745224
Column 1;3 x 3;12//2/3//14/(C);0.0314397810064917;0;0.0;168.44;0.02338875629891254;201.9717;415.8081;0.03089274708528178;49.4;12.02;0.008825479214231352;0.002147414173179369;0.03089274708528178;0.0314397810064917;12.02;0.936456517098512
Column 1;3 x 3;12//4//11/(C);0.029844427633194195;0;0.0;165.01;0.02291248323963167;548.0828;38.2348;0.029319445744987793;4.58;49.25;0.0008182326882829877;0.008798681200422957;0.029319445744987793;0.029844427633194195;49.25;3.836978657828762
Column 1;3 x 3;12//4//12/(C);0.07224037043873224;0;0.0;180.64;0.025082788754663746;554.3192;877.7311;0.07161122414702116;48.94;13.29;0.008743298638552274;0.0023743040234237784;0.07161122414702116;0.07224037043873224;13.29;1.0353999261430302
Column 1;3 x 3;12//4//13/(C);0.02697667348997942;0;0.0;152.15;0.02112680640512671;495.2365;35.3056;0.026530331541099718;4.13;47.99;0.0007378386468578033;0.008573577884432441;0.026530331541099718;0.02697667348997942;47.99;3.738814330745224
Column 1;3 x 3;12//4//14/(C);0.06936487036756164;0;0.0;167.78;0.023297111920158788;501.473;874.8019;0.06882211494374124;49.4;12.02;0.008825479214231352;0.002147414173179369;0.06882211494374124;0.06936487036756164;12.02;0.936456517098512
Column 1;3 x 3;21//5//11/(C);0.1186821612135121;0;0.0;183.57;0.025489634254282682;2225.2204;135.1413;0.118032439759095;1.38;16.56;0.0002465417270372321;0.002958500724446785;0.118032439759095;0.1186821612135121;16.56;1.2901597273836405
Column 1;3 x 3;21//5//12/(C);0.11648305649172636;0;0.0;186.65;0.025917308021800204;63.626;2252.3193;0.1158113496366295;17.19;0.69;0.0030710523824420436;0.00012327086351861605;0.1158113496366295;0.11648305649172636;0.69;0.05375665530765168
Column 1;3 x 3;21//5//13/(C);0.11763428510023932;0;0.0;167.65;0.023279060754646686;2219.2133;122.3493;0.11709237043062079;1.25;16.49;0.00022331678173662328;0.002945994984669534;0.11709237043062079;0.11763428510023932;16.49;1.2847061536567772
Column 1;3 x 3;21//5//14/(C);0.11543328956985968;0;0.0;170.73;0.0237067345221642;57.6189;2239.5273;0.11487128030815531;17.06;0.62;0.003047827437141434;0.00011076512374136514;0.11487128030815531;0.11543328956985968;0.62;0.04830308158078847
